SYS_ID	FKS_META_T	SHORT_DSC	LGC_ID	INACTV_IND	CATEGORY_ID	OTHER_CD	LONG_DSC
30	ADDR_TPC	Penal Institution	0004	N	 	 	 
31	ADDR_TPC	Permanent Mailing Address	0005	N	 	 	 
32	ADDR_TPC	Residence	0006	N	 	 	 
6271	ADDR_TPC	Residence 2	0007	N	 	 	 
6272	ADDR_TPC	Other Mailing	0008	N	 	 	 
6273	ADDR_TPC	Common	0009	N	 	 	 
5278	ADPLCREC	Death of child	01	N	 	 	 
5279	ADPLCREC	Death of adoptive parent(s)	02	N	 	 	 
5280	ADPLCREC	Abuse or neglect of child	03	N	 	 	 
5281	ADPLCREC	Inability to meet child's needs	04	N	 	 	 
5282	ADPLCREC	Child's behavior or care needs	05	N	 	 	 
5283	ADPLCREC	Factors not directly related to child	06	N	 	 	 
5284	ADPLCREC	Other	07	N	 	 	 
5995	ADPT_REL	No Relationship	0001	N	 	01	 
5997	ADPT_REL	Aunt/Uncle	0002	N	 	04	 
6000	ADPT_REL	Birth Parent	0003	N	 	08	 
5998	ADPT_REL	Cousin	0004	N	 	05	 
5996	ADPT_REL	Grandparent	0005	N	 	03	 
5999	ADPT_REL	Sibling	0006	N	 	06	 
6001	ADPT_REL	Other	0007	N	 	07	 
34	AGN_RSPC	County Welfare Department	0001	N	 	01	 
33	AGN_RSPC	County Probation Department	0002	N	 	02	 
37	AGN_RSPC	State Adoptions District Office	0005	N	 	05	 
36	AGN_RSPC	Private Adoption Agency	0006	N	 	06	 
5602	AGN_RSPC	Indian Child Welfare	0006	N	 	07	 
5603	AGN_RSPC	LA - County Probation Department	0007	N	 	02	 
5604	AGN_RSPC	LA - Out of State Agency	0008	N	 	09	 
35	AGN_RSPC	Out of State Agency	0009	N	 	09	 
5605	AGN_RSPC	LA - Private Adoption Agency	0009	N	 	06	 
5606	AGN_RSPC	LA - State Adoptions District Office	0010	N	 	05	 
5607	AGN_RSPC	LA - Indian Child Welfare	0011	N	 	07	 
6133	AGN_RSPC	Mental Health	0012	N	 	 	 
6134	AGN_RSPC	Kin-GAP	0013	N	 	 	 
2186	AID_TPC	5K	0001	N	 	 	CWS Emergency Assistance
2184	AID_TPC	49	0002	Y	 	 	FC - GRI
40	AID_TPC	08	0003	N	 	 	Foster Care - Cuban/Haitian-Entrants
38	AID_TPC	43	0004	Y	 	 	Foster Care - Emergency Assistance
44	AID_TPC	42	0005	N	 	 	Foster Care - Federal
39	AID_TPC	01	0006	N	 	 	Foster Care - IRAP Cash-Refugees
42	AID_TPC	40	0007	N	 	 	Foster Care - Non-Federal
2187	AID_TPC	94	0008	N	 	 	GRI Emergency Assistance
2188	AID_TPC	00	0009	N	 	 	Ineligible
2185	AID_TPC	4K	0010	N	 	 	Probation Emergency Assistance
2183	AID_TPC	31	0011	N	 	 	Services Only - Child in Home
43	AID_TPC	41	0012	N	 	 	Services Only - Non-Paid Placement
41	AID_TPC	4C	0013	N	 	 	Voluntary Placement
3310	AID_TPC	ND	0014	N	 	 	Not Determined
3311	AID_TPC	NA	0015	N	 	 	Not Applicable
5317	AID_TPC	05	0016	N	 	 	SED - 24 hr OHC
5318	AID_TPC	20	0017	N	 	 	SSI/SSP Aid to Blind-FFP
5319	AID_TPC	30	0018	N	 	 	AFDC-FG-FFP
5320	AID_TPC	35	0019	N	 	 	AFDC-U-FFP
5321	AID_TPC	60	0020	N	 	 	Disabled SSI/SSP-FFP
6136	AID_TPC	4G	0021	N	 	 	Kin-Gap - State
6137	AID_TPC	4F	0022	N	 	 	Kin-Gap - Federal
6149	AID_TPC	03	0023	N	 	 	Adoption Assistance-Fed
6150	AID_TPC	04	0024	N	 	 	Adoption Assistance(AAP/AAC)
6151	AID_TPC	2A	0025	N	 	 	Abandoned Baby Program
6152	AID_TPC	33	0026	N	 	 	CalWORKs-Zero Parent
6153	AID_TPC	4A	0027	N	 	 	Out-of-State AAP Children
6154	AID_TPC	4M	0028	N	 	 	Former Foster Care Children
6155	AID_TPC	45	0029	N	 	 	Foster Care M/C Only
6551	AID_TPC	4T	0030	N	 	 	Kin-GAP Federal
5369	ALG_DSPC	Unknown at Conversion	0000	Y	 	 	 
46	ALG_DSPC	Unfounded	0001	N	 	 	 
47	ALG_DSPC	Inconclusive	0002	N	 	 	 
45	ALG_DSPC	Substantiated	0003	N	 	 	 
5918	ALG_DSPC	Entered in Error	0004	N	 	 	 
3073	APL_CTXC	Adoptions Documents	0001	N	 	 	 
57	APL_CTXC	Case Documents	0002	N	 	 	 
58	APL_CTXC	Case Plan Documents	0003	N	 	 	 
3264	APL_CTXC	Court Reports	0004	N	 	 	 
61	APL_CTXC	Client Documents	0005	N	 	 	 
66	APL_CTXC	Court Documents	0006	N	 	 	 
3074	APL_CTXC	Fingerprint Documents	0007	N	 	 	 
3265	APL_CTXC	Fingerprint Reports	0008	N	 	 	 
3266	APL_CTXC	Fingerprint Host Reports	0009	Y	 	 	 
75	APL_CTXC	Hearing Documents	0010	N	 	 	 
3075	APL_CTXC	Other	0011	N	 	 	 
3076	APL_CTXC	Petition Documents	0012	N	 	 	 
80	APL_CTXC	Placement Documents	0013	N	 	 	 
3267	APL_CTXC	Placement Home Reports	0014	N	 	 	 
82	APL_CTXC	Referral Documents	0015	N	 	 	 
3268	APL_CTXC	Services Reports	0016	N	 	 	 
3269	APL_CTXC	Adoptions Reports	0017	N	 	 	 
2192	APL_CTXC	Caseload Reports	0018	N	 	 	 
2189	APL_CTXC	Case Reports	0019	N	 	 	 
2190	APL_CTXC	Client Reports	0020	N	 	 	 
2191	APL_CTXC	Referral Reports	0021	N	 	 	 
2193	APL_CTXC	Fingerprint Correspondence Reports	0022	N	 	 	 
2205	APL_CTXC	Placement Reports	0023	N	 	 	 
2194	APL_CTXC	Workstation Reports	0024	N	 	 	 
2195	APL_CTXC	General Host (PM) Reports	0025	Y	 	 	 
3270	APL_CTXC	Notice Reports	0026	Y	 	 	 
3271	APL_CTXC	Program Management - Case	0027	N	 	 	 
3272	APL_CTXC	Program Management - Court	0028	N	 	 	 
3273	APL_CTXC	Program Management - Intake	0029	N	 	 	 
3274	APL_CTXC	Program Management - Placement	0030	N	 	 	 
3275	APL_CTXC	Program Management - FCIS	0031	N	 	 	 
3276	APL_CTXC	Program Management - Licensing	0032	N	 	 	 
3277	APL_CTXC	Program Management - Fingerprint	0033	N	 	 	 
5345	APL_CTXC	Fingerprint Hidden Templates	0034	N	 	 	 
5383	APL_CTXC	Attachment Templates	0035	N	 	 	 
5619	APL_CTXC	County-specific Reports	0036	N	 	 	 
5903	APL_CTXC	Case Plan Reports	0037	N	 	 	 
5978	APL_CTXC	JV Documents	0038	N	 	 	 
6292	APL_CTXC	Notice Documents	0039	N	 	 	 
3077	APPL_STC	Application Approved	0001	N	 	 	 
3078	APPL_STC	Application Denied	0002	N	 	 	 
3079	APPL_STC	Application Withdrawn	0003	N	 	 	 
3080	APPL_STC	Certified Pending Licensure	0004	N	 	 	 
3081	APPL_STC	Pending	0005	N	 	 	 
5955	APPL_TYC	Contact II	0001	N	 	 	 
5956	APPL_TYC	Client Services	0002	N	 	 	 
5957	APPL_TYC	Resource Management	0003	N	 	 	 
5958	APPL_TYC	Caseload	0004	N	 	 	 
5959	APPL_TYC	SOC158	0005	N	 	 	 
6074	APPL_TYC	Cell Phone	0006	N	 	 	 
5331	APPS_TPC	RCL  1 Rate Contract Level	01	N	 	 	 
5332	APPS_TPC	RCL  2 Rate Contract Level	02	N	 	 	 
5333	APPS_TPC	RCL  3 Rate Contract Level	03	N	 	 	 
5334	APPS_TPC	RCL  4 Rate Contract Level	04	N	 	 	 
5335	APPS_TPC	RCL  5 Rate Contract Level	05	N	 	 	 
5336	APPS_TPC	RCL  6 Rate Contract Level	06	N	 	 	 
5337	APPS_TPC	RCL  7 Rate Contract Level	07	N	 	 	 
5338	APPS_TPC	RCL  8 Rate Contract Level	08	N	 	 	 
5339	APPS_TPC	RCL  9 Rate Contract Level	09	N	 	 	 
5340	APPS_TPC	RCL 10 Rate Contract Level	10	N	 	 	 
5341	APPS_TPC	RCL 11 Rate Contract Level	11	N	 	 	 
5342	APPS_TPC	RCL 12 Rate Contract Level	12	N	 	 	 
5343	APPS_TPC	RCL 13 Rate Contract Level	13	N	 	 	 
5344	APPS_TPC	RCL 14 Rate Contract Level	14	N	 	 	 
5322	APPS_TPC	A1 - FFA-Non-Treatment Placement	A1	N	 	 	 
5323	APPS_TPC	A2 - FFA-Treatment Placement	A2	N	 	 	 
5324	APPS_TPC	AA - FFA-Intensive Care Srvc/Rt Level A	AA	N	 	 	 
5325	APPS_TPC	AB - FFA-Intensive Care Srvc/Rt Level B	AB	N	 	 	 
5326	APPS_TPC	AC - FFA-Intensive Care Srvc/Rt Level C	AC	N	 	 	 
5327	APPS_TPC	AD - FFA-Intensive Care Srvc/Rt Level D	AD	N	 	 	 
5328	APPS_TPC	AE - FFA-Intensive Care Srvc/Rt Level E	AE	N	 	 	 
3082	APPS_TPC	B - Basic Placement Rate	B	N	 	 	 
3083	APPS_TPC	D - Severely Emotionally Disturbed	D	N	 	 	 
3084	APPS_TPC	F1 - Develop. Disabled/Phys. Handicapped	F1	N	 	 	 
3085	APPS_TPC	F2 - Develop. Disabled/Phys. Handicapped	F2	N	 	 	 
3086	APPS_TPC	F3 - Develop. Disabled/Phys. Handicapped	F3	N	 	 	 
3087	APPS_TPC	F4 - Develop. Disabled/Phys. Handicapped	F4	N	 	 	 
3092	APPS_TPC	GF - Grandfa Rt-Grp Hm(RT AMT ENTRY REQ)	GF	N	 	 	 
3088	APPS_TPC	H - Host Cnty/State Rt(RT AMT ENTRY REQ)	H	N	 	 	 
3089	APPS_TPC	P1 - CBPP Specl Care & Shelter Allowance	P1	N	 	 	 
3090	APPS_TPC	P2 - CBPP Specialized Care Ongoing	P2	N	 	 	 
3091	APPS_TPC	RF - Reg. Ctr-FFA(RT AMT ENTRY REQ)	RF	N	 	 	 
5330	APPS_TPC	RG - Reg. Ctr-Grp Hm(RT AMT ENTRY REQ)	RG	N	 	 	 
108	APRVL_C	Case Closure Request	0001	N	 	 	 
109	APRVL_C	Case Plan	0002	N	 	 	 
110	APRVL_C	Incidental Payment Request	0003	N	 	 	 
111	APRVL_C	Ongoing Payment Request	0004	N	 	 	 
112	APRVL_C	Placement	0005	N	 	 	 
113	APRVL_C	Shelter Care Extension Request	0006	N	 	 	 
114	APRVL_C	Referral Response	0007	N	 	 	 
115	APRVL_C	Referral Client Disposition	0008	N	 	 	 
116	APRVL_C	Court Report	0009	N	 	 	 
117	APRVL_C	Case Transfer Request	0010	N	 	 	 
118	APV_STC	Request Not Submitted	0001	N	 	SW	 
119	APV_STC	Pending Approval	0002	N	 	SP	 
120	APV_STC	Requires Modification	0003	N	 	SW	 
121	APV_STC	Rejected	0004	N	 	SP	 
122	APV_STC	Approved	0005	N	 	SP	 
123	APV_STC	Pending Higher Approval	0006	N	 	SP	 
124	ARS_JSTC	Felony	0001	N	 	 	 
125	ARS_JSTC	Misdemeanor	0002	N	 	 	 
126	ARS_JSTC	Offenses Against Persons	0003	N	 	 	 
127	ARS_JSTC	Offenses Against Property	0004	N	 	 	 
128	ARS_JSTC	Drug/Alcohol Offenses	0005	N	 	 	 
129	ARS_JSTC	Previous Court Ordered Commitment	0006	N	 	 	 
130	ASSG_RLC	Adoptions Worker	0001	N	 	 	 
131	ASSG_RLC	After Hours/On-Call Worker	0002	N	 	 	 
132	ASSG_RLC	Case Aide	0003	N	 	 	 
133	ASSG_RLC	Court Dependency Investigator	0004	N	 	 	 
134	ASSG_RLC	Court Worker	0005	N	 	 	 
135	ASSG_RLC	Courtesy Supervision Worker	0006	N	 	 	 
136	ASSG_RLC	Eligibility Worker	0007	N	 	 	 
137	ASSG_RLC	ER Worker	0008	N	 	 	 
138	ASSG_RLC	Family Preservation Worker	0009	N	 	 	 
139	ASSG_RLC	ICT Contact Person	0010	N	 	 	 
140	ASSG_RLC	Intake Detention Control Worker	0011	N	 	 	 
141	ASSG_RLC	Intern	0012	N	 	 	 
142	ASSG_RLC	Public Health Nurse	0013	N	 	 	 
143	ASSG_RLC	Screener	0014	N	 	 	 
144	ASSG_RLC	Volunteer	0015	N	 	 	 
3062	ASSG_RLC	ICPC Case Worker	0016	N	 	 	 
5799	ASSG_RLC	Clerical Support	0017	N	 	 	 
5800	ASSG_RLC	Services Support	0018	N	 	 	 
5801	ASSG_RLC	Guardianship Worker	0019	N	 	 	 
5802	ASSG_RLC	ILP Worker	0020	N	 	 	 
5803	ASSG_RLC	Intake Eligibility Worker	0021	N	 	 	 
5804	ASSG_RLC	Parent Adoptions Worker	0022	N	 	 	 
6448	ASSG_RLC	Probation	0023	N	 	 	 
6449	ASSG_RLC	Tribal Representative	0024	N	 	 	 
145	ASSM_TPC	Case	0001	N	 	 	 
146	ASSM_TPC	Prospective Foster Home Evaluation	0002	N	 	 	 
147	ASSM_TPC	ICPC Progress Report	0003	N	 	 	 
148	ASSM_TPC	Independent Living	0004	N	 	 	 
149	ASSM_TPC	Permanency Planning/Adoption	0005	N	 	 	 
150	ASSM_TPC	Placement Needs	0006	N	 	 	 
6175	BKGRCHKC	CLETS	0001	N	 	 	 
6176	BKGRCHKC	CWS/CMS Search	0002	N	 	 	 
6177	BKGRCHKC	Live Scan Fingerprints Submitted	0003	N	 	 	 
6178	BKGRCHKC	Live Scan Received	0004	N	 	 	 
6179	BKGRCHKC	DOJ CACI Received	0005	N	 	 	 
6180	BKGRCHKC	FBI Requested	0006	N	 	 	 
6181	BKGRCHKC	FBI Received	0007	N	 	 	 
6182	BKGRCHKC	Exemption Requested	0008	N	 	 	 
6183	BKGRCHKC	Exemption Granted	0009	N	 	 	 
6184	BKGRCHKC	Exemption Denied	0010	N	 	 	 
6185	BKGRCHKC	DOJ RAP-Backs Requested	0011	N	 	 	 
6186	BKGRCHKC	Not Applicable Due to Age	0012	N	 	 	 
6878	CAER_RLC	CASA	0010	N	 	 	 
6879	CAER_RLC	Education Surrogate	0020	N	 	 	 
6906	CAER_RLC	Father	0025	N	 	 	 
6880	CAER_RLC	Foster Parent	0030	N	 	 	 
6907	CAER_RLC	Legal Guardian	0034	N	 	 	 
6908	CAER_RLC	Mother	0037	N	 	 	 
6881	CAER_RLC	NREFM	0040	N	 	 	 
6882	CAER_RLC	Relative	0050	N	 	 	 
6883	CAER_RLC	Other	0060	N	 	 	 
151	CAIC_STC	Cleared - Foll. Inq.	0001	Y	 	 	 
152	CAIC_STC	Cleared - Inconclusive Foll. Inq.	0002	N	 	 	 
153	CAIC_STC	Cleared - No Match	0003	N	 	 	 
154	CAIC_STC	Cleared - Unfounded Foll. Inq.	0004	N	 	 	 
155	CAIC_STC	No Action	0005	Y	 	 	 
156	CAIC_STC	Not Cleared - Inconclusive Foll. Inq.	0006	N	 	 	 
157	CAIC_STC	Not Cleared - Substantiated Foll. Inq.	0007	N	 	 	 
158	CAIC_STC	Pending - Possible Match	0008	N	 	 	 
159	CAIC_STC	Pending - Request to Dept of Justice	0009	N	 	 	 
170	CL_SRVDC	Developmentally Disabled	910	N	 	 	 
5905	CL_SRVDC	Dev Dis with Special Health Care Needs	911	N	 	 	 
5386	CL_SRVDC	Mentally Disabled	915	N	 	 	 
5906	CL_SRVDC	Ment Dis with Special Health Care Needs	916	N	 	 	 
5387	CL_SRVDC	Developmentally/Mentally Disabled	920	N	 	 	 
5907	CL_SRVDC	DD/MD with Special Health Care Needs	921	N	 	 	 
5908	CL_SRVDC	Special Health Care Needs	922	N	 	 	 
172	CL_SRVDC	Medically Fragile	925	N	 	 	 
5388	CL_SRVDC	Substance Abuse	930	N	 	 	 
166	CL_SRVDC	Children	950	N	 	 	 
171	CL_SRVDC	Infant	955	N	 	 	 
167	CL_SRVDC	Children/Infant	960	N	 	 	 
168	CL_SRVDC	Children/Toddler	961	N	 	 	 
173	CL_SRVDC	Wards	965	N	 	 	 
169	CL_SRVDC	Dependents	970	N	 	 	 
174	CL_SRVDC	Wards/Dependents	975	N	 	 	 
5389	CL_SRVDC	Developmentally Disabled/Client Delayed	984	N	 	 	 
175	CLNTRELC	Aunt/Nephew (Maternal)	A	N	 	FM	255
176	CLNTRELC	Aunt/Nephew (Paternal)	A	N	 	FM	256
177	CLNTRELC	Aunt/Niece (Maternal)	A	N	 	FF	263
178	CLNTRELC	Aunt/Niece (Paternal)	A	N	 	FF	264
244	CLNTRELC	Live-in/Live-in	BD	N	 	UU	244
179	CLNTRELC	Brother/Brother	BR	N	 	MM	179
180	CLNTRELC	Brother/Brother (Half)	BR	N	 	MM	180
181	CLNTRELC	Brother/Brother (Step)	BR	N	 	MM	181
182	CLNTRELC	Brother/Sister	BR	N	 	MF	276
183	CLNTRELC	Brother/Sister (Half)	BR	N	 	MF	277
184	CLNTRELC	Brother/Sister (Step)	BR	N	 	MF	278
272	CLNTRELC	Non-Custodial Parent/Daughter	CP	Y	 	UF	200
273	CLNTRELC	Non-Custodial Parent/Son	CP	Y	 	UM	294
185	CLNTRELC	Cousin/Cousin (Maternal)	CS	N	 	UU	185
186	CLNTRELC	Cousin/Cousin (Paternal)	CS	N	 	UU	186
187	CLNTRELC	Daughter/De Facto Parent	D	N	 	FU	201
188	CLNTRELC	Daughter/Father (Adoptive)	D	N	 	fM	203
189	CLNTRELC	Daughter/Father (Alleged)	D	N	 	fM	204
190	CLNTRELC	Daughter/Father (Birth)	D	N	 	fM	205
192	CLNTRELC	Daughter/Father (Presumed)	D	N	 	fM	207
194	CLNTRELC	Daughter/Mother (Adoptive)	D	N	 	fF	245
195	CLNTRELC	Daughter/Mother (Alleged)	D	N	 	fF	246
196	CLNTRELC	Daughter/Mother (Birth)	D	N	 	fF	247
198	CLNTRELC	Daughter/Mother (Presumed)	D	N	 	fF	5620
200	CLNTRELC	Daughter/Non-Custodial Parent	D	Y	 	FU	272
201	CLNTRELC	De Facto Parent/Daughter	DFP	N	 	UF	187
202	CLNTRELC	De Facto Parent/Son	DFP	N	 	UM	282
203	CLNTRELC	Father/Daughter (Adoptive)	F	N	 	Mf	188
204	CLNTRELC	Father/Daughter (Alleged)	F	N	 	Mf	189
205	CLNTRELC	Father/Daughter (Birth)	F	N	 	Mf	190
207	CLNTRELC	Father/Daughter (Presumed)	F	N	 	Mf	192
209	CLNTRELC	Father/Son (Adoptive)	F	N	 	Mm	283
210	CLNTRELC	Father/Son (Alleged)	F	N	 	Mm	284
211	CLNTRELC	Father/Son (Birth)	F	N	 	Mm	285
213	CLNTRELC	Father/Son (Presumed)	F	N	 	Mm	287
191	CLNTRELC	Daughter/Father (Foster)	FD	N	 	FM	206
197	CLNTRELC	Daughter/Mother (Foster)	FD	N	 	FF	248
206	CLNTRELC	Father/Daughter (Foster)	FF	N	 	MF	191
212	CLNTRELC	Father/Son (Foster)	FF	N	 	MM	286
248	CLNTRELC	Mother/Daughter (Foster)	FM	N	 	FF	197
253	CLNTRELC	Mother/Son (Foster)	FM	N	 	FM	292
271	CLNTRELC	No Relation/No Relation	FR	N	 	UU	271
286	CLNTRELC	Son/Father (Foster)	FS	N	 	MM	212
292	CLNTRELC	Son/Mother (Foster)	FS	N	 	MF	253
217	CLNTRELC	Granddaughter/Grandparent (Maternal)	GD	N	 	FU	221
218	CLNTRELC	Granddaughter/Grandparent (Paternal)	GD	N	 	FU	222
219	CLNTRELC	Granddaughter/Great Grandparent (Matrnl)	GD	N	 	FU	231
220	CLNTRELC	Granddaughter/Great Grandparent (Patrnl)	GD	N	 	FU	232
221	CLNTRELC	Grandparent/Granddaughter (Maternal)	GP	N	 	UF	217
222	CLNTRELC	Grandparent/Granddaughter (Paternal)	GP	N	 	UF	218
223	CLNTRELC	Grandparent/Grandson (Maternal)	GP	N	 	UM	225
224	CLNTRELC	Grandparent/Grandson (Paternal)	GP	N	 	UM	226
225	CLNTRELC	Grandson/Grandparent (Maternal)	GS	N	 	MU	223
226	CLNTRELC	Grandson/Grandparent (Paternal)	GS	N	 	MU	224
227	CLNTRELC	Grandson/Great Grandparent (Maternal)	GS	N	 	MU	233
228	CLNTRELC	Grandson/Great Grandparent (Paternal)	GS	N	 	MU	234
241	CLNTRELC	Guardian/Ward	GU	N	 	UU	301
245	CLNTRELC	Mother/Daughter (Adoptive)	M	N	 	Ff	194
246	CLNTRELC	Mother/Daughter (Alleged)	M	N	 	Ff	195
247	CLNTRELC	Mother/Daughter (Birth)	M	N	 	Ff	196
250	CLNTRELC	Mother/Son (Adoptive)	M	N	 	Fm	289
251	CLNTRELC	Mother/Son (Alleged)	M	N	 	Fm	290
252	CLNTRELC	Mother/Son (Birth)	M	N	 	Fm	291
5620	CLNTRELC	Mother/Daughter (Presumed)	M	N	 	Ff	198
6361	CLNTRELC	Mother/Son (Presumed)	M	N	 	Fm	6360
263	CLNTRELC	Niece/Aunt (Maternal)	NC	N	 	FF	177
264	CLNTRELC	Niece/Aunt (Paternal)	NC	N	 	FF	178
265	CLNTRELC	Niece/Great Aunt (Maternal)	NC	N	 	FF	229
266	CLNTRELC	Niece/Great Aunt (Paternal)	NC	N	 	FF	230
267	CLNTRELC	Niece/Great Uncle (Maternal)	NC	N	 	FM	235
268	CLNTRELC	Niece/Great Uncle (Paternal)	NC	N	 	FM	236
269	CLNTRELC	Niece/Uncle (Maternal)	NC	N	 	FM	298
270	CLNTRELC	Niece/Uncle (Paternal)	NC	N	 	FM	299
255	CLNTRELC	Nephew/Aunt (Maternal)	NP	N	 	MF	175
256	CLNTRELC	Nephew/Aunt (Paternal)	NP	N	 	MF	176
257	CLNTRELC	Nephew/Great-Aunt (Maternal)	NP	N	 	MF	237
258	CLNTRELC	Nephew/Great-Aunt (Paternal)	NP	N	 	MF	238
259	CLNTRELC	Nephew/Great-Uncle (Maternal)	NP	N	 	MM	239
260	CLNTRELC	Nephew/Great-Uncle (Paternal)	NP	N	 	MM	240
261	CLNTRELC	Nephew/Uncle (Maternal)	NP	N	 	MM	296
262	CLNTRELC	Nephew/Uncle (Paternal)	NP	N	 	MM	297
215	CLNTRELC	Godchild/Godparent	OTH	N	 	UU	216
229	CLNTRELC	Great Aunt/Niece (Maternal)	OTH	N	 	FF	265
230	CLNTRELC	Great Aunt/Niece (Paternal)	OTH	N	 	FF	266
231	CLNTRELC	Great Grandparent/Granddaughter (Matrnl)	OTH	N	 	UF	219
232	CLNTRELC	Great Grandparent/Granddaughter (Patrnl)	OTH	N	 	UF	220
233	CLNTRELC	Great Grandparent/Grandson (Maternal)	OTH	N	 	UM	227
234	CLNTRELC	Great Grandparent/Grandson (Paternal)	OTH	N	 	UM	228
235	CLNTRELC	Great Uncle/Niece (Maternal)	OTH	N	 	MF	267
236	CLNTRELC	Great Uncle/Niece (Paternal)	OTH	N	 	MF	268
237	CLNTRELC	Great-Aunt/Nephew (Maternal)	OTH	N	 	FM	257
238	CLNTRELC	Great-Aunt/Nephew (Paternal)	OTH	N	 	FM	258
239	CLNTRELC	Great-Uncle/Nephew (Maternal)	OTH	N	 	MM	259
240	CLNTRELC	Great-Uncle/Nephew (Paternal)	OTH	N	 	MM	260
242	CLNTRELC	Indian Child/Indian Custodian	OTH	N	 	UU	243
274	CLNTRELC	Other Relative/Other Relative	OTH	N	 	UU	274
275	CLNTRELC	Significant Other/Significant Other	OTH	N	 	UU	275
301	CLNTRELC	Ward/Guardian	OTH	N	 	UU	241
5993	CLNTRELC	Child/Residential Facility Staff	OTH	N	 	UU	5994
5994	CLNTRELC	Residential Facility Staff/Child	OTH	N	 	UU	5993
282	CLNTRELC	Son/De Facto Parent	S	N	 	MU	202
283	CLNTRELC	Son/Father (Adoptive)	S	N	 	mM	209
284	CLNTRELC	Son/Father (Alleged)	S	N	 	mM	210
285	CLNTRELC	Son/Father (Birth)	S	N	 	mM	211
287	CLNTRELC	Son/Father (Presumed)	S	N	 	mM	213
289	CLNTRELC	Son/Mother (Adoptive)	S	N	 	mF	250
290	CLNTRELC	Son/Mother (Alleged)	S	N	 	mF	251
291	CLNTRELC	Son/Mother (Birth)	S	N	 	mF	252
294	CLNTRELC	Son/Non-Custodial Parent	S	Y	 	MU	273
6360	CLNTRELC	Son/Mother (Presumed)	S	N	 	mF	6361
193	CLNTRELC	Daughter/Father (Step)	SD	N	 	FM	208
199	CLNTRELC	Daughter/Mother (Step)	SD	N	 	FF	249
208	CLNTRELC	Father/Daughter (Step)	SF	N	 	MF	193
214	CLNTRELC	Father/Son (Step)	SF	N	 	MM	288
276	CLNTRELC	Sister/Brother	SI	N	 	FM	182
277	CLNTRELC	Sister/Brother (Half)	SI	N	 	FM	183
278	CLNTRELC	Sister/Brother (Step)	SI	N	 	FM	184
279	CLNTRELC	Sister/Sister	SI	N	 	FF	279
280	CLNTRELC	Sister/Sister (Half)	SI	N	 	FF	280
281	CLNTRELC	Sister/Sister (Step)	SI	N	 	FF	281
249	CLNTRELC	Mother/Daughter (Step)	SM	N	 	FF	199
254	CLNTRELC	Mother/Son (Step)	SM	N	 	FM	293
295	CLNTRELC	Spouse/Spouse	SPL	N	 	UU	295
216	CLNTRELC	Godparent/Godchild	SR	N	 	UU	215
243	CLNTRELC	Indian Custodian/Indian Child	SR	N	 	UU	242
288	CLNTRELC	Son/Father (Step)	SS	N	 	MM	214
293	CLNTRELC	Son/Mother (Step)	SS	N	 	MF	254
296	CLNTRELC	Uncle/Nephew (Maternal)	UN	N	 	MM	261
297	CLNTRELC	Uncle/Nephew (Paternal)	UN	N	 	MM	262
298	CLNTRELC	Uncle/Niece (Maternal)	UN	N	 	MF	269
